date,Store 13,Store 23,Store 5,Store 7,Store 51
2013-01-01,5516.831,6560.337,10598.61902,11997.502,15134.49099
2013-01-02,5516.831,6560.337,10598.61902,11997.502,15134.49099
2013-01-03,4852.438995,4911.204009999999,7770.968,9277.958,11170.057015
2013-01-04,4249.484,5620.528,7347.6419905,8096.573018,12452.326
2013-01-05,6465.232,6041.002,8192.598,8610.605999,15046.247
2013-01-06,4551.895,5231.643,10843.23203,8770.658,15730.16899
2013-01-07,4012.964998,6875.7411,6468.321,9551.40902,11514.676
2013-01-08,3891.686,4231.89099,6427.859,8200.948998,10525.460009
2013-01-09,3485.425,7407.798000000001,6057.108,7268.615998,12751.336995
2013-01-10,3262.861,4044.996,5950.81402,7210.11902,9939.93
2013-01-11,3128.215,4167.432,6379.973,6897.339,11170.111
2013-01-12,5361.829989,5478.61,6935.206,7179.963,14567.40803
2013-01-13,3922.927,5227.582,9284.70298,8143.62,14753.413
2013-01-14,3755.465,4357.227,6090.491,8020.472,10732.842
2013-01-15,3769.515,10066.204,6209.218,7888.646,10648.97398
2013-01-16,3089.911,4582.55099,6821.91198,8314.345,13738.811
2013-01-17,2976.131,3871.628,5739.371,6822.315,9776.874
2013-01-18,3251.225,3658.67001,5656.092,8593.85,10604.76602
2013-01-19,5133.28,5620.842,7034.429,8454.52902,13873.097
2013-01-20,3956.382998,4990.052,9265.873,8202.233,13202.108
2013-01-21,3755.789,4563.061,6231.630999,8609.073,10425.81799
2013-01-22,3419.753,4804.723,6079.274,7629.284000000001,9573.29801
2013-01-23,3140.272005,4379.919,6250.286999999999,7687.197002,12320.52503
2013-01-24,2724.931,4164.742004,5578.141,6666.21002,9364.503
2013-01-25,3130.825995,3636.948994,6221.183,7685.963,11281.536
2013-01-26,5389.902,5907.211,6978.212,7859.504,13355.755
2013-01-27,3372.266,4962.438021,7386.87,7381.691,12167.287
2013-01-28,3835.58999,4401.395,6255.433019999999,8072.718,10019.028
2013-01-29,3694.363996,4770.257001,5262.863,6946.646,8741.145
2013-01-30,3125.393995,4182.903,5651.534000000001,8034.3,13107.058
2013-01-31,3675.088986,5125.543,5914.971,7447.62801,9275.21298
2013-02-01,4672.75901,3972.211,7321.628,9955.44203,13170.681
2013-02-02,7274.523,7444.086,8952.411,8788.161998,13898.14603
2013-02-03,4213.268996,5430.714,9154.992,7193.163,14208.06203
2013-02-04,4434.801,6580.926,7609.544,7725.803002,11248.99504
2013-02-05,4329.13801,4721.671,7002.696,7395.874,10021.749
2013-02-06,3774.108,6512.822099999999,6590.228999999999,7893.19098,12239.237
2013-02-07,3708.403,4709.953,6003.978,6743.271018,10970.14402
2013-02-08,3758.077002,5452.09,7594.615,7949.568,13583.70999
